"agent" "ow"
"1" "A1" 12.4
"2" "A1" 10.7
"3" "A1" 11.9
"4" "A1" 11
"5" "A1" 12.4
"6" "A1" 12.3
"7" "A1" 13
"8" "A1" 12.5
"9" "A1" 11.2
"10" "A1" 13.1
"11" "A2" 9.1
"12" "A2" 11.5
"13" "A2" 11.3
"14" "A2" 9.7
"15" "A2" 13.2
"16" "A2" 10.7
"17" "A2" 10.6
"18" "A2" 11.3
"19" "A2" 11.1
"20" "A2" 11.7
"21" "A3" 8.5
"22" "A3" 11.6
"23" "A3" 10.2
"24" "A3" 10.9
"25" "A3" 9
"26" "A3" 9.6
"27" "A3" 9.9
"28" "A3" 11.3
"29" "A3" 10.5
"30" "A3" 11.2
"31" "A4" 12.7
"32" "A4" 13.2
"33" "A4" 11.8
"34" "A4" 11.9
"35" "A4" 12.2
"36" "A4" 11.2
"37" "A4" 13.7
"38" "A4" 11.8
"39" "A4" 12.2
"40" "A4" 11.7
"41" "S" 8.7
"42" "S" 9.3
"43" "S" 8.2
"44" "S" 8.3
"45" "S" 9
"46" "S" 9.4
"47" "S" 9.2
"48" "S" 12.2
"49" "S" 8.5
"50" "S" 9.9
